Resuming blueprints/bp_6p.pkl at iteration 400,000 (27,888,918 infosets)
Running 100,000 MCCFR iterations (each = 6 traversals)...
  iter  400200  |  27,897,991 infosets  |   83.1 it/s
  iter  400400  |  27,907,758 infosets  |   82.7 it/s
  iter  400600  |  27,916,811 infosets  |   82.0 it/s
  iter  400800  |  27,925,947 infosets  |   82.5 it/s
  iter  401000  |  27,935,263 infosets  |   82.3 it/s
  iter  401200  |  27,945,799 infosets  |   82.2 it/s
  iter  401400  |  27,955,480 infosets  |   82.4 it/s
  iter  401600  |  27,965,130 infosets  |   82.0 it/s
  iter  401800  |  27,974,888 infosets  |   81.9 it/s
  iter  402000  |  27,984,783 infosets  |   81.9 it/s
  iter  402200  |  27,994,730 infosets  |   82.1 it/s
  iter  402400  |  28,005,042 infosets  |   81.9 it/s
  iter  402600  |  28,014,665 infosets  |   81.6 it/s
  iter  402800  |  28,024,314 infosets  |   81.4 it/s
  iter  403000  |  28,034,308 infosets  |   81.5 it/s
  iter  403200  |  28,043,344 infosets  |   81.6 it/s
  iter  403400  |  28,053,625 infosets  |   81.4 it/s
  iter  403600  |  28,062,881 infosets  |   81.0 it/s
  iter  403800  |  28,072,830 infosets  |   80.4 it/s
  iter  404000  |  28,082,211 infosets  |   79.9 it/s
  iter  404200  |  28,091,502 infosets  |   79.1 it/s
  iter  404400  |  28,100,371 infosets  |   78.3 it/s
  iter  404600  |  28,109,982 infosets  |   77.5 it/s
  iter  404800  |  28,120,279 infosets  |   76.8 it/s
  iter  405000  |  28,130,420 infosets  |   75.9 it/s
  iter  405200  |  28,139,989 infosets  |   75.1 it/s
  iter  405400  |  28,148,630 infosets  |   74.5 it/s
  iter  405600  |  28,158,225 infosets  |   74.1 it/s
  iter  405800  |  28,168,533 infosets  |   73.5 it/s
  iter  406000  |  28,177,788 infosets  |   73.0 it/s
  iter  406200  |  28,187,456 infosets  |   72.6 it/s
  iter  406400  |  28,197,404 infosets  |   72.2 it/s
  iter  406600  |  28,207,621 infosets  |   71.8 it/s
  iter  406800  |  28,217,117 infosets  |   71.4 it/s
  iter  407000  |  28,227,132 infosets  |   71.2 it/s
  iter  407200  |  28,236,062 infosets  |   71.2 it/s
  iter  407400  |  28,245,399 infosets  |   71.1 it/s
  iter  407600  |  28,254,793 infosets  |   71.1 it/s
  iter  407800  |  28,264,634 infosets  |   71.1 it/s
  iter  408000  |  28,273,898 infosets  |   71.1 it/s
  iter  408200  |  28,284,365 infosets  |   71.1 it/s
  iter  408400  |  28,293,395 infosets  |   71.1 it/s
  iter  408600  |  28,303,249 infosets  |   71.2 it/s
  iter  408800  |  28,311,955 infosets  |   71.3 it/s
  iter  409000  |  28,321,051 infosets  |   71.3 it/s
  iter  409200  |  28,331,790 infosets  |   71.4 it/s
  iter  409400  |  28,341,527 infosets  |   71.4 it/s
  iter  409600  |  28,351,345 infosets  |   71.4 it/s
  iter  409800  |  28,360,117 infosets  |   71.5 it/s
  iter  410000  |  28,368,844 infosets  |   65.8 it/s
  iter  410200  |  28,378,661 infosets  |   65.9 it/s
  iter  410400  |  28,389,008 infosets  |   66.0 it/s
  iter  410600  |  28,399,453 infosets  |   66.0 it/s
  iter  410800  |  28,410,074 infosets  |   65.9 it/s
  iter  411000  |  28,419,183 infosets  |   65.7 it/s
  iter  411200  |  28,428,914 infosets  |   65.3 it/s
  iter  411400  |  28,438,127 infosets  |   64.7 it/s
  iter  411600  |  28,447,570 infosets  |   64.3 it/s
  iter  411800  |  28,457,484 infosets  |   63.9 it/s
  iter  412000  |  28,466,671 infosets  |   63.5 it/s
  iter  412200  |  28,476,903 infosets  |   63.1 it/s
  iter  412400  |  28,485,839 infosets  |   62.9 it/s
  iter  412600  |  28,496,367 infosets  |   62.6 it/s
  iter  412800  |  28,506,364 infosets  |   62.4 it/s
  iter  413000  |  28,516,109 infosets  |   62.2 it/s
  iter  413200  |  28,525,547 infosets  |   62.2 it/s
  iter  413400  |  28,534,759 infosets  |   62.2 it/s
  iter  413600  |  28,543,642 infosets  |   62.2 it/s
  iter  413800  |  28,553,460 infosets  |   62.3 it/s
  iter  414000  |  28,562,677 infosets  |   62.3 it/s
  iter  414200  |  28,572,039 infosets  |   62.4 it/s
  iter  414400  |  28,581,147 infosets  |   62.5 it/s
  iter  414600  |  28,590,312 infosets  |   62.6 it/s
  iter  414800  |  28,599,838 infosets  |   62.7 it/s
  iter  415000  |  28,609,132 infosets  |   62.8 it/s
  iter  415200  |  28,619,039 infosets  |   62.9 it/s
  iter  415400  |  28,628,499 infosets  |   63.0 it/s
  iter  415600  |  28,638,141 infosets  |   63.0 it/s
  iter  415800  |  28,647,312 infosets  |   63.0 it/s
  iter  416000  |  28,656,416 infosets  |   63.1 it/s
  iter  416200  |  28,665,536 infosets  |   63.1 it/s
  iter  416400  |  28,674,880 infosets  |   63.2 it/s
  iter  416600  |  28,683,949 infosets  |   63.2 it/s
